sPort|   Records|
  139|         9|
 9415|         6|
 2394|         5|
 1163|         5|
 3871|         5|
 5101|         4|
 9080|         5|
 1328|         7|
34979|         1|
 2144|         6|
   53|        14|
 1900|         5|
 2161|         4|
 2003|         5|
 4443|         4|
 1434|         7|
38292|         5|
13782|         7|
 3878|         5|
 3814|         7|
 1148|         4|
34941|         2|
 9011|         4|
 4005|         5|
 1717|         6|
  280|         5|
  497|         4|
 1352|         5|
 1073|         7|
 1093|         4|
61932|         1|
 8082|         4|
 2366|         5|
 8083|         4|
 5906|         5|
56737|         5|
  161|         4|
   84|         7|
 1947|         6|
19315|         4|
   70|         5|
 5730|         6|
 1099|         4|
 3905|         5|
 4446|         5|
 1089|         6|
 2920|         6|
 2042|         5|
  714|         5|
34966|         1|
  687|         5|
   83|         5|
 1058|         4|
 2170|         5|
61900|         6|
 3003|         5|
19101|         4|
47331|         1|
50500|         5|
 5631|         6|
  902|         6|
39584|         1|
 6007|         4|
31337|         6|
 1169|         5|
55555|         6|
 1244|         5|
 2007|         4|
  777|         5|
 4662|         5|
  406|         5|
 4001|         5|
 1079|         5|
 2002|         6|
 3000|         7|
 8045|         5|
 1433|         6|
25735|         5|
60443|         5|
  720|         4|
 2910|         4|
34960|         1|
  163|         6|
 1121|         4|
  667|         4|
49161|         6|
16018|         4|
 2301|         5|
 8222|         5|
 5030|         6|
48434|         1|
50389|         4|
 2033|         5|
59927|         1|
  666|         5|
 3737|         4|
 2701|         6|
 5566|         5|
 6002|         5|
 8290|         4|
16080|         5|
  416|         5|
 6123|         4|
61532|         6|
 1974|         6|
  808|         6|
 2006|         4|
 2160|         5|
39462|         1|
 3260|         6|
 1186|         5|
 8194|         4|
 8402|         5|
 8080|         5|
33354|         4|
  138|         3|
 2522|         4|
 2107|         8|
 8009|         6|
59741|         3|
 1217|         5|
35001|         1|
39492|         1|
 6566|         5|
34969|         1|
  443|         6|
34962|         1|
 5902|         4|
 3580|         5|
 5678|         4|
   20|         4|
 1723|         6|
 8254|         5|
 2967|         4|
 1090|         5|
 8086|         7|
 2525|         4|
 1046|         5|
 1300|         5|
39594|         1|
32783|         5|
 1114|         6|
 2038|         5|
  903|         7|
  783|         4|
 8600|         6|
 8001|         5|
 1972|         5|
 1074|         5|
 5989|         6|
39552|         1|
52848|         5|
51474|         1|
  987|         5|
 1130|         4|
 5901|         4|
 5003|         4|
 8011|         4|
 1271|         4|
39490|         1|
 2179|         6|
 4449|         5|
 6667|         5|
45566|         1|
50006|         5|
   89|         4|
 9485|         5|
    4|         5|
13456|         4|
39596|         1|
 2601|         5|
 1088|         4|
34978|         1|
34952|         1|
 5120|         6|
51573|         1|
14442|         7|
50000|         5|
 9877|         4|
50003|         6|
15002|         5|
 3851|         6|
 1126|         5|
 3268|         8|
34997|         1|
54045|         5|
 1035|         8|
34950|         1|
 3971|         5|
48352|         1|
49152|         5|
30000|         4|
 1011|         5|
  256|         4|
 9595|         5|
 1301|         5|
  382|         1|
57797|         4|
 5298|         5|
 8383|         4|
 1001|         5|
  912|         7|
36572|         1|
19842|         5|
44501|         4|
54328|         5|
 8200|         6|
57892|         1|
 6669|         4|
 2288|         4|
 1040|         5|
 8031|         6|
 5087|         6|
52673|         6|
35003|         1|
 2200|         9|
 1500|         5|
 7004|         5|
 1687|         6|
49167|         5|
10082|         5|
 2135|         6|
14441|         4|
 1719|         5|
 1031|         4|
 7007|         6|
   33|         6|
   81|         5|
 1122|         6|
 1091|         5|
34965|         1|
 2047|         4|
48600|         1|
59739|         1|
  515|         5|
 2718|         4|
13783|         5|
63331|         6|
  683|         5|
34963|         1|
 1053|         4|
 2869|         5|
  113|         5|
  211|         4|
 5960|         5|
53224|         1|
   67|         6|
 6567|         5|
 3030|         4|
34931|      3810|
36865|      2000|
15000|         4|
42932|         1|
 1213|         4|
 2119|         4|
10010|         5|
  146|         4|
 2382|         5|
49175|         5|
 9502|         8|
 1198|         5|
45100|         7|
 5666|         5|
47680|         1|
 1455|         4|
52869|         4|
46364|         1|
 2043|         6|
54269|         1|
  109|         4|
50528|         1|
13722|         4|
65000|         4|
63157|         1|
 4279|         5|
 9998|         5|
35002|         1|
 9010|         5|
 2046|         5|
 7937|         5|
 2045|         5|
 6666|         4|
 1021|         5|
  106|         6|
56446|         1|
34954|         1|
49330|         1|
 8008|         5|
 3221|         5|
 7070|         5|
10628|         5|
64623|         4|
 5080|         4|
 8180|         5|
  749|         5|
 4343|         8|
 1038|         4|
  123|        35|
 1272|         5|
 8333|         5|
 1248|         5|
48608|         1|
 3372|         5|
 2191|         5|
 9000|         4|
 1104|         4|
  648|         5|
 1064|         6|
 2001|         4|
12345|         7|
 6901|         6|
 7512|         5|
 1755|         4|
  636|         5|
32770|         5|
50300|         5|
 1721|         5|
52822|         5|
32780|         5|
 9200|         4|
 1720|         5|
 8007|         4|
 9110|         5|
 6699|         4|
35500|         5|
34964|         1|
 1503|         5|
 1839|         5|
 1123|         6|
 1154|         4|
10012|         6|
 1863|         4|
 6005|         4|
 5510|         6|
 6346|         5|
  722|         6|
 3546|         5|
39538|         1|
57294|         7|
 1065|         4|
 7777|         4|
 5033|         6|
 1059|         5|
 1028|         4|
 1494|         7|
34975|         1|
44058|         1|
10000|         6|
39554|         1|
 1984|         4|
 3052|         4|
39580|         1|
39566|         1|
 1025|         6|
 2000|         4|
 9001|         5|
 1187|         5|
 3325|         5|
 5002|         5|
  458|         4|
34999|         1|
  425|         4|
 9876|         5|
 5815|         6|
 1066|         6|
  700|         5|
 2251|         6|
    9|         5|
33899|         5|
 8000|         4|
 1287|         6|
 5962|         5|
 8899|         7|
 8873|         5|
32782|         4|
    7|         4|
 5009|         5|
 3351|         5|
34961|         1|
 3261|         5|
10626|         5|
 1081|         4|
34987|         1|
58126|         2|
 1192|         5|
33915|         1|
32771|         5|
 6543|         6|
 1914|         4|
 3031|         5|
 5440|         4|
 1165|         4|
 5544|         5|
  880|         4|
12000|         4|
 7496|         4|
   68|         7|
 9111|         6|
 5226|         4|
 8994|         6|
 1137|         5|
 7103|         5|
  311|         5|
  407|         5|
 5357|        10|
48336|         1|
  111|         6|
 5961|         4|
 2041|         5|
 1087|         5|
 5061|         4|
 1069|         4|
 8649|         4|
